country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Germany,0.0253,0.0246,0.0262,0.0322,0.0348,0.0384,0.0367,0.0306,0.0254,0.0243,0.0221,0.0184,0.0163,0.0161,0.0152,0.0141,0.012,0.0113
Ghana,,,,,,,,,,,,,,0.0149,0.0149,0.0149,0.0149,0.0149
Greece,0.0343,0.0303,0.0305,0.0299,0.0334,0.0305,0.0285,0.0242,0.0214,0.0247,0.0349,0.0517,0.0784,0.095,0.0948,0.0897,0.084,0.0768
Guatemala,,,0.000865,0.000865,0.000865,0.0011491666666666666,0.0014333333333333333,0.0017174999999999998,0.002001666666666667,0.0022858333333333333,0.00257,0.00525,0.00219,0.00216,0.00228,0.00224,0.00321,0.00321
Honduras,,,,0.00319,0.00319,0.00319,0.00241,0.0016300000000000002,0.00186,0.0017399999999999998,0.0033,0.00619,0.00302,0.00108,0.00349,0.00405,0.0041600000000000005,0.00196
Hungary,0.0184,0.0155,0.0155,0.0157,0.0161,0.0201,0.0214,0.0213,0.0222,0.0274,0.034,0.0319,0.0325,0.0306,0.0234,0.0206,0.0155,0.0118
Iceland,0.00317,0.0037400000000000003,0.0043100000000000005,0.00447,0.00772,0.00328,0.00345,0.0023,0.00205,0.00939,0.0165,0.0149,0.0126,0.00971,0.00815,0.0058,0.0029100000000000003,0.00315
Indonesia,0.0135,0.0118,0.0126,0.0123,0.0137,0.0192,0.0172,0.0185,0.0226,0.0175,0.0163,0.0135,0.0111,0.011,0.0104,0.0126,0.00728,0.0066
Iran,,,,,,,,0.0226,0.0226,0.0226,0.0257,0.024325,0.022949999999999998,0.021575,0.0202,0.0211,0.0248,0.027000000000000003
Ireland,0.0111,0.00847,0.00982,0.0117,0.0113,0.0105,0.0109,0.0122,0.0154,0.0331,0.0483,0.0536,0.0541,0.0478,0.0404,0.0332,0.0269,0.0201
Israel,0.00989,0.00964,0.013,0.016,0.0175,0.0146,0.014,0.011,0.008409999999999999,0.0106,0.00966,0.007240000000000002,0.0081,0.006790000000000001,0.00563,0.00525,0.0047,0.00368
Italy,0.0342,0.0303,0.0287,0.0271,0.0208,0.0198,0.0174,0.015,0.0165,0.0195,0.022,0.0228,0.0306,0.0364,0.0396,0.0363,0.0354,0.0344
Japan,0.0118,0.0114,0.0131,0.0139,0.0121,0.0111,0.0102,0.00949,0.00965,0.0121,0.0139,0.0118,0.0118,0.0111,0.00952,0.008440000000000001,0.00806,0.00722
Kazakhstan,,,,,,,,0.0126,0.0126,0.0126,0.0101,0.00797,0.0098,0.00882,0.00882,0.00882,0.00882,0.00882
Kyrgyz Republic,,,,,,,,0.0131,0.0131,0.0131,0.0119,0.0121,0.0119,0.0184,0.0184,0.0167,0.018000000000000002,0.018000000000000002
Lao,,,,,,,,,,,,,,,,0.0102,0.0102,0.0102
Latvia,0.0496,0.048,0.0386,0.0379,0.0334,0.0306,0.0178,0.0134,0.017,0.0475,0.0676,0.057,0.0508,0.0385,0.0333,0.0312,0.0299,0.024
Liberia,,,,,,,,,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441
Lithuania,0.0524,0.0586,0.0459,0.0412,0.038,0.0273,0.0163,0.00954,0.0102,0.0314,0.0574,0.0537,0.0443,0.0357,0.0339,0.028,0.0229,0.0194
Luxembourg,0.00368,0.0034700000000000004,0.00534,0.00662,0.0101,0.0102,0.0104,0.00895,0.0109,0.0115,0.00897,0.0118,0.0122,0.0133,0.013,0.0161,0.0168,0.0136
Malawi,,,,,,,,,,,,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122
Malaysia,,,,,,,,0.0022,0.0022,0.0022,0.00183,0.0016699999999999998,0.0018,0.00164,0.00171,0.00182,0.00222,0.00222
Maldives,,,,,,,,,,,,,,,0.00773,0.00773,0.00773,0.00773
Mali,,,,,,,,,,,,,,0.0143,0.0143,0.0143,0.0166,0.0166
Malta,0.017,0.0138,0.0147,0.014,0.0204,0.0175,0.0156,0.0146,0.0145,0.0174,0.0185,0.0172,0.0181,0.0177,0.0163,0.0142,0.0122,0.013
Mauritius,0.024,0.024,0.0206,0.0147,0.0214,0.0251,0.0223,0.0203,0.0156,0.0155,0.0162,0.0169,0.0144,0.0158,0.0156,0.0141,0.0128,0.0138
Mexico,0.000377,0.000302,0.000456,0.00044,0.000597,0.0008880000000000002,0.0006929999999999999,0.0007,0.000718,0.00135,0.00148,0.00128,0.0012,0.00122,0.00117,0.000958,0.0008960000000000002,0.000805
Moldova,,,,,,,,0.0093,0.0093,0.0093,0.00854,0.007790000000000002,0.00577,0.00472,0.00392,0.00396,0.00436,0.00415
Mongolia,,,,,,,0.0163,0.0163,0.0163,0.0177,0.0223,0.0155,0.0114,0.0136,0.0149,0.0147,0.0244,0.0221
Montenegro,,,,,,,,,,0.0672,0.0672,0.0672,0.0697,0.0692,0.0648,0.0639,0.0647,0.0586
Morocco,,,,,,,,,,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228
Myanmar,,,,,,,,,,,,,,0.00124,0.00124,0.00124,0.00205,0.00286
Namibia,,,,,,,,,,,0.0451,0.0451,0.0451,0.0597,0.0561,0.0561,0.0561,0.0561
Nepal,,,,,,,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415
